algorithm,model_variant,population,feature_set,transformed_feature,coefficient,absolute_coefficient_rank,selection_reason
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1800.0,-2.706064433887444,34,top_negative
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1810.0,-2.8505144541370333,27,top_negative
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1820.0,-2.898078256667489,24,top_negative
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1840.0,-2.7136487866493,32,top_negative
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1870.0,-3.0206501399184695,19,top_negative
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1880.0,-3.848619913205067,4,top_negative
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1890.0,-4.791907323286749,3,top_negative
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1900.0,-4.812039273725058,2,top_negative
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1910.0,-3.0429681741753516,17,top_negative
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_260.0,2.4267519304571006,45,top_positive
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_infrequent_sklearn,2.6167812613702157,37,top_positive
LogisticRegression,balanced,Global,M2,numeric__distance_to_dynasty_capital_km,-0.05346513617875787,5074,interpretable_term
LogisticRegression,balanced,Global,M2,numeric__missingindicator_distance_to_dynasty_capital_km,0.16011126469632533,4329,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__dynasty_name_Choson,-5.759557708820845,2,top_negative
LogisticRegression,balanced,Global,M2,categorical__dynasty_name_NanBei Chao,-3.8018704325929895,9,top_negative
LogisticRegression,balanced,Global,M2,categorical__dynasty_name_Qing,2.6082654043653295,49,top_positive
LogisticRegression,balanced,Global,M2,categorical__gender_female,-1.4183493722277032,216,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__gender_male,2.0655787069636022,81,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__gender_unknown,-1.2842650402773754,306,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1410.0,2.5782881017481034,51,top_positive
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1420.0,3.6664433290219276,11,top_positive
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1430.0,3.631827202581136,12,top_positive
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1440.0,3.4371703185649047,19,top_positive
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1450.0,3.3088317586338025,23,top_positive
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1460.0,3.412530124348526,20,top_positive
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1470.0,2.693069179590692,46,top_positive
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1480.0,2.8157786272907392,40,top_positive
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1490.0,3.163938102625607,30,top_positive
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1500.0,3.5970365202533077,14,top_positive
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1510.0,3.8189555909011417,8,top_positive
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1520.0,3.8826794837902363,7,top_positive
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1530.0,3.8923936590268884,6,top_positive
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1540.0,3.968563185848875,4,top_positive
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1550.0,3.6077505894216673,13,top_positive
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1620.0,-3.220885683372719,28,top_negative
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1630.0,-3.286018557818519,24,top_negative
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1640.0,-3.533193481001883,16,top_negative
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1650.0,-3.156808429851802,32,top_negative
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1670.0,-3.0817067883864104,34,top_negative
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1810.0,-3.157605398921592,31,top_negative
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1820.0,-3.2515147460393243,26,top_negative
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1830.0,-3.037660167782764,35,top_negative
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1840.0,-3.115600327148124,33,top_negative
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1870.0,-3.4401599565313066,18,top_negative
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1880.0,-3.579231881482837,15,top_negative
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1890.0,-3.9634121713725796,5,top_negative
LogisticRegression,balanced,Global,M2,categorical__safe_birth_decade_1900.0,-3.2196653457092856,29,top_negative
LogisticRegression,balanced,Global,M2,categorical__addr_type_name_Birth Address,-3.447001550967738,17,top_negative
LogisticRegression,balanced,Global,M2,categorical__addr_type_name_Eight Banner Qing Dynasty,-3.3576445206126033,21,top_negative
LogisticRegression,balanced,Global,M2,categorical__addr_type_name_Household address,7.507389381176985,1,top_positive
LogisticRegression,balanced,Global,M2,categorical__province_id_101030,0.5994140664746359,1810,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_10989,-0.26791368984133024,3650,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_11,-0.2651354458538957,3670,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_11026,-1.398984702819704,221,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_11141,-0.26244302243452533,3688,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_11203,-0.7741377976267465,1156,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_11296,-0.04893873733782692,5104,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_11371,-0.9759979029274743,660,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_11546,-0.2292319166227217,3900,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_11703,-0.39016074067727274,2890,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_11857,0.7280665695049405,1304,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_11901,0.26957357086989175,3641,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_12091,-0.28849965212714335,3519,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_12214,-0.10866599563972737,4674,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_12433,0.7695930737487304,1164,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_12587,0.3542540852938879,3101,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_12669,1.3109884027662408,284,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_12753,0.9676371870014477,680,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_12824,1.0047666540435964,602,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_12840,1.4242760560488368,212,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_12907,1.273337689690137,316,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_13015,1.6288860082158585,141,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_13098,0.03725115004801461,5188,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_13284,1.552583954207166,161,interpretable_term
LogisticRegression,balanced,Global,M2,categorical__province_id_13285,1.4719340000599723,193,interpretable_term
