algorithm,population,baseline_feature_set,extension_feature_set,feature_block,comparison_type,split_protocol,evaluation_split,n_test,baseline_roc_auc,extension_roc_auc,delta_roc_auc,baseline_pr_auc,extension_pr_auc,delta_pr_auc,baseline_log_loss,extension_log_loss,delta_log_loss,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_pr_auc_ci_low,delta_pr_auc_ci_high,delta_log_loss_ci_low,delta_log_loss_ci_high,bootstrap_resamples
CatBoost,Song,M4,M6,documentation_addition,nested,primary,test,12508,0.9185493676575915,0.9396095593441436,0.021060191686552043,0.9117028447079614,0.9412052728371534,0.029502428129192015,0.3578780719372017,0.3052998502331488,-0.05257822170405291,0.018631466195803793,0.02360010409344625,0.025819255996841158,0.03330395207618136,-0.058071373541159474,-0.046956995293205364,500
LogisticRegression,Global,M0,M0b,safe_birth_cohort,nested,primary,test,99307,0.7398182250893919,0.7841859235793645,0.044367698489972573,0.5064089578613011,0.5810439564944321,0.07463499863313094,0.5842358735221792,0.5444124341499436,-0.03982343937223565,0.04256298653204738,0.046141183737707675,0.0717202465411019,0.07750516257552062,-0.041284677297097075,-0.03833369614746652,500
LogisticRegression,Global,M0,M5,documentation_only,benchmark,primary,test,99307,0.7398182250893919,0.8228903722789571,0.08307214718956524,0.5064089578613011,0.6285875571398801,0.12217859927857899,0.5842358735221792,0.49647694114026025,-0.08775893238191895,0.07999966655557676,0.08625580956597242,0.11856013844187997,0.12586179952444618,-0.09095670906442763,-0.08427325192753139,500
LogisticRegression,Global,M0b,M1,personal,nested,primary,test,99307,0.7841859235793645,0.8296641593648573,0.045478235785492815,0.5810439564944321,0.638489621407497,0.05744566491306491,0.5444124341499436,0.49394373997690744,-0.05046869417303612,0.04424658442293462,0.04666458999943476,0.055733169542507205,0.05914291785169395,-0.05226964268513978,-0.048588756302855855,500
LogisticRegression,Global,M1,M2,geography,nested,primary,test,99307,0.8296641593648573,0.9004174541478395,0.0707532947829822,0.638489621407497,0.8208489553562488,0.1823593339487518,0.49394373997690744,0.3903653957772331,-0.10357834419967432,0.06901050981453599,0.07245475796057779,0.17872085603995574,0.18577165529436573,-0.10590062006762237,-0.10125059533689111,500
LogisticRegression,Global,M2,M3,family_structure,nested,primary,test,99307,0.9004174541478395,0.9131125806026938,0.012695126454854377,0.8208489553562488,0.8437308621872195,0.02288190683097069,0.3903653957772331,0.36923037251881885,-0.021135023258414265,0.011812232022238186,0.013535126580431227,0.02082063578066763,0.024694206832097103,-0.022458397598694023,-0.019781282681878745,500
LogisticRegression,Global,M3,M4,family_capital,nested,primary,test,99307,0.9131125806026938,0.9137733618084741,0.0006607812057802809,0.8437308621872195,0.8444805392060197,0.0007496770188002433,0.36923037251881885,0.368023398368238,-0.0012069741505808529,0.00043892189022329275,0.0009041883337434886,0.0001514806790009762,0.001353461245559292,-0.0016197004540919754,-0.0007753786598146756,500
LogisticRegression,Global,M4,M6,documentation_addition,nested,primary,test,99307,0.9137733618084741,0.9160384610622774,0.002265099253803249,0.8444805392060197,0.8435958925187247,-0.0008846466872950431,0.368023398368238,0.363532382799033,-0.0044910155692050036,0.0018862258564244978,0.0026374894814013726,-0.0018503222929850624,4.925273386840859e-05,-0.00516893752327312,-0.003880107656859194,500
LogisticRegression,Ming,M0,M0b,safe_birth_cohort,nested,primary,test,33812,0.5,0.6354331590958789,0.13543315909587894,0.19927836271146337,0.4071544403376419,0.20787607762617855,0.6931471805599452,0.5802667749523884,-0.11288040560755674,0.12983398417478892,0.1411296877939913,0.19786907332672213,0.21770689017816702,-0.11593705339382297,-0.10967814023635564,500
LogisticRegression,Ming,M0,M5,documentation_only,benchmark,primary,test,33812,0.5,0.7819152878340779,0.28191528783407793,0.19927836271146337,0.4535896295188804,0.254311266807417,0.6931471805599452,0.5418473587681989,-0.15129982179174628,0.27628286582295153,0.28743491098942286,0.2434703035025264,0.2638830741655814,-0.15652029947518484,-0.14509402209544128,500
LogisticRegression,Ming,M0b,M1,personal,nested,primary,test,33812,0.6354331590958789,0.7160004950428509,0.08056733594697196,0.4071544403376419,0.4383333856575643,0.03117894531992238,0.5802667749523884,0.5351498558056227,-0.045116919146765744,0.07834477530641541,0.08262663722973958,0.030068068844520183,0.03216393057413684,-0.047633012951344755,-0.042364906660617804,500
LogisticRegression,Ming,M1,M2,geography,nested,primary,test,33812,0.7160004950428509,0.8156845223275027,0.09968402728465175,0.4383333856575643,0.6710001117458189,0.23266672608825456,0.5351498558056227,0.43968942242889986,-0.09546043337672283,0.09430541498150481,0.10459124355983276,0.22449207133946755,0.2403428982394154,-0.0976779497043835,-0.09302440137734407,500
LogisticRegression,Ming,M2,M3,family_structure,nested,primary,test,33812,0.8156845223275027,0.8974794941594834,0.0817949718319807,0.6710001117458189,0.7720357091391514,0.10103559739333257,0.43968942242889986,0.35673678415562754,-0.08295263827327232,0.07672234270669577,0.08650940401890521,0.0946890377962119,0.10690965103925501,-0.08685297858888025,-0.07910332846446182,500
