algorithm,model_variant,analysis,population,feature_set,split_protocol,evaluation_split,threshold_source,threshold,n_train,n_validation,n_test,train_positive_rate,validation_positive_rate,test_positive_rate,best_iteration,roc_auc,pr_auc,balanced_accuracy,f1,precision,recall,log_loss,brier_score
LogisticRegression,balanced,temporal_sensitivity,Qing,M1,temporal,test,fixed_0.5,0.5,9353,8947,5892,0.2524323746391532,0.2747289594277411,0.2048540393754243,,0.5092975961109112,0.20792848519103757,0.5092975961109112,0.3442272013700585,0.20793103448275863,0.9991714995857498,0.6913186561553842,0.24942592584260112
LogisticRegression,balanced,temporal_sensitivity,Qing,M1,temporal,test,validation_balanced_accuracy,0.22,9353,8947,5892,0.2524323746391532,0.2747289594277411,0.2048540393754243,,0.5092975961109112,0.20792848519103757,0.5092975961109112,0.3442272013700585,0.20793103448275863,0.9991714995857498,0.6913186561553842,0.24942592584260112
LogisticRegression,balanced,temporal_sensitivity,Qing,M2,temporal,test,fixed_0.5,0.5,9353,8947,5892,0.2524323746391532,0.2747289594277411,0.2048540393754243,,0.5911134709569489,0.2836148208107627,0.5810264563083188,0.35449894673487814,0.2783553875236295,0.487986743993372,0.6516204600485012,0.22902623457875557
LogisticRegression,balanced,temporal_sensitivity,Qing,M2,temporal,test,validation_balanced_accuracy,0.49,9353,8947,5892,0.2524323746391532,0.2747289594277411,0.2048540393754243,,0.5911134709569489,0.2836148208107627,0.5855437730280231,0.3613053613053613,0.2786516853932584,0.5136702568351285,0.6516204600485012,0.22902623457875557
LogisticRegression,balanced,temporal_sensitivity,Qing,M3,temporal,test,fixed_0.5,0.5,9353,8947,5892,0.2524323746391532,0.2747289594277411,0.2048540393754243,,0.6990838748354273,0.4806432053052165,0.6541998427882885,0.4509306260575296,0.4606741573033708,0.4415907207953604,0.5384564576794131,0.1751505974571154
LogisticRegression,balanced,temporal_sensitivity,Qing,M3,temporal,test,validation_balanced_accuracy,0.52,9353,8947,5892,0.2524323746391532,0.2747289594277411,0.2048540393754243,,0.6990838748354273,0.4806432053052165,0.6476421337997221,0.44142167617376044,0.46921641791044777,0.4167357083678542,0.5384564576794131,0.1751505974571154
LogisticRegression,balanced,temporal_sensitivity,Qing,M4,temporal,test,fixed_0.5,0.5,9353,8947,5892,0.2524323746391532,0.2747289594277411,0.2048540393754243,,0.6991684048670199,0.47998367841147527,0.6500320524439878,0.44416243654822335,0.45375972342264476,0.43496271748135873,0.5380734678869858,0.17532756702573177
LogisticRegression,balanced,temporal_sensitivity,Qing,M4,temporal,test,validation_balanced_accuracy,0.52,9353,8947,5892,0.2524323746391532,0.2747289594277411,0.2048540393754243,,0.6991684048670199,0.47998367841147527,0.6482769048214834,0.4431512981199642,0.4819863680623174,0.4101077050538525,0.5380734678869858,0.17532756702573177
LogisticRegression,balanced,temporal_sensitivity,Qing,M5,temporal,test,fixed_0.5,0.5,9353,8947,5892,0.2524323746391532,0.2747289594277411,0.2048540393754243,,0.6628423311543568,0.39598380343407175,0.6708628694762586,0.4858490566037736,0.5640744797371303,0.4266777133388567,0.5262962944162122,0.16535197562734125
LogisticRegression,balanced,temporal_sensitivity,Qing,M5,temporal,test,validation_balanced_accuracy,0.35000000000000003,9353,8947,5892,0.2524323746391532,0.2747289594277411,0.2048540393754243,,0.6628423311543568,0.39598380343407175,0.6778545464512861,0.49698655540101994,0.5642105263157895,0.44407622203811103,0.5262962944162122,0.16535197562734125
LogisticRegression,balanced,temporal_sensitivity,Qing,M6,temporal,test,fixed_0.5,0.5,9353,8947,5892,0.2524323746391532,0.2747289594277411,0.2048540393754243,,0.6962014538104387,0.4712455395747026,0.6288977761351208,0.40982404692082114,0.36752136752136755,0.4631317315658658,0.5432395149514194,0.181011796588892
LogisticRegression,balanced,temporal_sensitivity,Qing,M6,temporal,test,validation_balanced_accuracy,0.41000000000000003,9353,8947,5892,0.2524323746391532,0.2747289594277411,0.2048540393754243,,0.6962014538104387,0.4712455395747026,0.6487757734807362,0.4343629343629344,0.3550762756443977,0.5592377796188898,0.5432395149514194,0.181011796588892
