algorithm,model_variant,population,feature_set,split_protocol,evaluation_split,threshold_source,threshold,n_train,n_validation,n_test,train_positive_rate,validation_positive_rate,test_positive_rate,best_iteration,roc_auc,pr_auc,balanced_accuracy,f1,precision,recall,log_loss,brier_score,selection_validation_roc_auc,selection_validation_log_loss
CatBoost,unweighted,Ming,M1,primary,test,validation_balanced_accuracy,0.25,157781,33810,33812,0.19926353616721912,0.19926057379473527,0.19927836271146337,79.0,0.7160943612148125,0.43712059403232806,0.6346485418316252,0.4234417344173442,0.8852691218130312,0.27827248441674085,0.3879644626680221,0.12175673192062791,0.7148212727022345,0.3892571253778697
CatBoost,unweighted,Ming,M2,primary,test,fixed_0.5,0.5,157781,33810,33812,0.19926353616721912,0.19926057379473527,0.19927836271146337,198.0,0.8169284087609846,0.6762010345200384,0.7163433243316971,0.5995743387047735,0.9453499520613614,0.4390026714158504,0.3214268961695832,0.09693435012899212,0.8170941746124576,0.32147987776880704
CatBoost,unweighted,Ming,M2,primary,test,validation_balanced_accuracy,0.19,157781,33810,33812,0.19926353616721912,0.19926057379473527,0.19927836271146337,198.0,0.8169284087609846,0.6762010345200384,0.7342776203903889,0.568923386517177,0.5515607580824972,0.5874146631047789,0.3214268961695832,0.09693435012899212,0.8170941746124576,0.32147987776880704
CatBoost,balanced,Ming,M3,primary,test,fixed_0.5,0.5,157781,33810,33812,0.19926353616721912,0.19926057379473527,0.19927836271146337,444.0,0.9114348452060844,0.7921249995914902,0.8124499944119383,0.711323518076004,0.7400160384923817,0.684772929652716,0.3328951790370162,0.10688465464504301,0.9128076119365252,0.33337384940045567
CatBoost,balanced,Ming,M3,primary,test,validation_balanced_accuracy,0.5,157781,33810,33812,0.19926353616721912,0.19926057379473527,0.19927836271146337,444.0,0.9114348452060844,0.7921249995914902,0.8124499944119383,0.711323518076004,0.7400160384923817,0.684772929652716,0.3328951790370162,0.10688465464504301,0.9128076119365252,0.33337384940045567
CatBoost,balanced,Ming,M4,primary,test,fixed_0.5,0.5,157781,33810,33812,0.19926353616721912,0.19926057379473527,0.19927836271146337,490.0,0.9123678251265788,0.793525939968536,0.8141003254538921,0.7138016019716574,0.7419148254883126,0.6877411694864946,0.3311809044074465,0.10632543141332652,0.9131687814672189,0.33196716973077894
CatBoost,balanced,Ming,M4,primary,test,validation_balanced_accuracy,0.52,157781,33810,33812,0.19926353616721912,0.19926057379473527,0.19927836271146337,490.0,0.9123678251265788,0.793525939968536,0.8142061171000325,0.715957529256762,0.7492295214922953,0.6855149896111605,0.3311809044074465,0.10632543141332652,0.9131687814672189,0.33196716973077894
CatBoost,balanced,Ming,M5,primary,test,fixed_0.5,0.5,157781,33810,33812,0.19926353616721912,0.19926057379473527,0.19927836271146337,65.0,0.7978170511334293,0.5327161655973157,0.6890980916544309,0.4609878310665712,0.3299602920456001,0.7646185811813595,0.49693540641665995,0.16922560651252028,0.7977683397530558,0.49756834767133234
CatBoost,balanced,Ming,M5,primary,test,validation_balanced_accuracy,0.5800000000000001,157781,33810,33812,0.19926353616721912,0.19926057379473527,0.19927836271146337,65.0,0.7978170511334293,0.5327161655973157,0.6912996641045344,0.5340343629706131,0.7268080756452849,0.42208370436331255,0.49693540641665995,0.16922560651252028,0.7977683397530558,0.49756834767133234
CatBoost,balanced,Ming,M6,primary,test,fixed_0.5,0.5,157781,33810,33812,0.19926353616721912,0.19926057379473527,0.19927836271146337,494.0,0.9170144130551858,0.8015169579763533,0.8173017026891086,0.7281076801266825,0.7803801765105227,0.682398337785693,0.3219158050897358,0.10221046860008828,0.9178014712485417,0.3220710315247041
CatBoost,balanced,Ming,M6,primary,test,validation_balanced_accuracy,0.5,157781,33810,33812,0.19926353616721912,0.19926057379473527,0.19927836271146337,494.0,0.9170144130551858,0.8015169579763533,0.8173017026891086,0.7281076801266825,0.7803801765105227,0.682398337785693,0.3219158050897358,0.10221046860008828,0.9178014712485417,0.3220710315247041
