model_id,population,feature_group,mean_abs_shap,signed_mean_shap,n_features,sample_n,group_share_of_total_abs_shap,rank
D5_MAIN,Ming,continuous_geography,0.1282393115071249,0.0227426999028359,3,10000,0.0283331173842563,9
D5_MAIN,Ming,address_observability,0.039405749331699,0.0083530310646801,2,10000,0.0087062828730765,10
D5_MAIN,Ming,regional_density,0.0388678509324383,0.0259609428300062,2,10000,0.008587439919945,11
D5_MAIN,Ming,historical_regime,0.0,0.0,1,10000,0.0,12
D6_UPPER,Ming,personal_gender,1.3728354310672408,0.0200495734286463,1,10000,0.3040199225252181,1
D6_UPPER,Ming,family_topology,0.7699507227366127,-0.0488051737589754,7,10000,0.170508681359314,2
D6_UPPER,Ming,family_observability,0.6476770476736932,0.0411559498828974,5,10000,0.1434306846976138,3
D6_UPPER,Ming,address_record_semantics,0.5795642824453975,-0.0192249099731153,1,10000,0.1283468391476875,4
D6_UPPER,Ming,personal_birth_cohort,0.253452503083287,0.0346463002265583,2,10000,0.0561280752284353,5
D6_UPPER,Ming,documentation_general,0.2068818562043017,0.0095201317228581,6,10000,0.0458148183473161,6
D6_UPPER,Ming,family_full_record_capital,0.18981690988068,-0.0045154467751656,10,10000,0.0420357174137313,7
D6_UPPER,Ming,supervised_local_prior,0.1775901556670398,-0.0307531398440985,1,10000,0.0393280535636834,8
D6_UPPER,Ming,continuous_geography,0.1402060632290655,0.0139765811772228,3,10000,0.0310491960768592,9
D6_UPPER,Ming,administrative_geography,0.1154291936597177,-5.4796674961129273e-05,3,10000,0.0255622587525255,10
D6_UPPER,Ming,regional_density,0.0396286977587279,0.0095701309067413,2,10000,0.0087759343543586,11
D6_UPPER,Ming,address_observability,0.022577231039167,0.0024658985003242,2,10000,0.0049998185332567,12
D6_UPPER,Ming,historical_regime,0.0,0.0,1,10000,0.0,13
